stock_id,date,DlyPrc,DlyRet,DlyRetx,datadate,rdq,fyearq,fqtr,datacqtr,atq,ltq,niq,epspxq,fincfy,ivncfy,oancfy,fincfq,ivncfq,oancfq,annual_volatility,momentum_1m,momentum_12m_ex_1m,accruals,roa,roe,qoe,delta_roa,delta_roe,delta_qoe,delta_accruals,z_momentum_12m_ex_1m,z_delta_roa,z_delta_roe,z_delta_qoe,z_delta_accruals,FM_Score,z_FM_Score,Twin_Score
stock_328,2023-12-29,495.22,0.0,0.0,2023-10-31,2023-11-21,2023.0,3.0,2023Q3,54148.0,20883.0,9243.0,3.75,-10004.0,-4457.0,16591.0,-4525.0,-3170.0,7332.0,0.3955800245156133,0.0287967191849649,1.5687725634517244,0.035292162222058,0.1706988254413828,0.2778596122050203,0.7932489451476793,0.0458072907829224,0.0528132502545458,-0.2324417964907114,0.0385007183717906,4.957656945322821,2.0850309370704414,0.1552629623379066,0.0478732629133681,1.412142226224019,0.876024936097697,0.530123527654126,5.487780472976947
stock_181,2023-12-29,58.53,-0.014646,-0.014646,2023-09-30,2023-11-02,2023.0,3.0,2023Q3,7479.3,7405.2,322.9,0.41,-660.3,-577.7,1743.8,-628.9,-111.20000000000005,551.2,0.2868921485769884,0.0919781580618837,0.4431826302555115,-0.0305242469215033,0.0431724894040886,4.35762483130902,1.7070300402601428,0.0075998948622043,3.5285463755182374,-0.2272546011217571,0.0027106818130846,1.0933548942441338,0.3048270992179039,6.616539336414289,0.0479135730329763,0.1363015178580179,6.83297849080715,4.134953826848006,5.22830872109214
stock_40,2023-12-29,39.85,-0.022326,-0.022326,2023-09-30,2023-11-08,2023.0,3.0,2023Q3,5005.228,3909.438,108.639,0.32,-1392.267,-71.025,717.522,-724.154,-15.833000000000006,199.06600000000003,0.460283581461073,0.0156932829242351,1.4564314519802246,-0.0180665096575021,0.0217051051420634,0.0991421714014546,1.8323622271928133,0.0070470896298164,0.0461851396365937,-1.0273015233205216,0.0091924704450859,4.571974757985685,0.2790701489582178,0.1429415173370654,0.0416963429438618,0.3673638635520879,0.0963441456870571,0.058302333958619,4.630277091944304
stock_289,2023-12-29,353.96,-0.012168,-0.012168,2023-09-30,2023-10-25,2023.0,3.0,2023Q3,216274.0,73401.0,11583.0,4.5,-11099.0,-18023.0,51709.0,-5875.0,-6077.0,20402.0,0.3053698415914601,0.0655035791562355,1.2772471790332571,-0.0407769773528024,0.0535570618752138,0.0810720010078881,1.7613744280410948,0.0158722422436919,0.0229594466369496,-0.460862059312866,0.0052827842201965,3.9568109820412647,0.6902620183401458,0.0997656991594927,0.0460981903625253,0.2279916437313645,0.6081342641307992,0.3680103934306406,4.324821375471905
stock_342,2023-12-29,294.88,-0.002368,-0.002368,2023-10-31,2023-11-15,2024.0,1.0,2023Q3,14808.5,12638.0,194.2,0.63,-41.8,-129.0,1526.0,-41.8,-129.0,1526.0,0.3293571521894963,0.0206620642374228,0.884761456778266,-0.0899348347233008,0.0131140898808116,0.0894724717806956,7.857878475798147,-0.0025881671893416,-0.0407608844306976,6.039257483264111,-0.0770806374555074,2.609354562257637,-0.1698670464411363,-0.0186883520687584,0.0966111511422313,-2.708093824686981,2.6161495773193177,1.5831540697657696,4.192508632023406
stock_108,2023-12-29,255.32,-0.003162,-0.003162,2023-10-31,2023-11-28,2023.0,3.0,2023Q3,5831.056,3770.209,26.665,0.11,59.698,-361.045,819.191,2.0529999999999973,-468.836,273.51800000000003,0.3887324407225008,0.0890635488142499,1.2519519377057668,-0.0423341844084502,0.0045729281282841,0.0129388547524391,10.25756609788112,0.0030382728514937,0.0084086157277881,-18.63537535632096,0.0004718653794478,3.869969006947559,0.0922866521497394,0.0727161713078936,-0.0951374394360699,0.0564923469479106,0.0133730370736525,0.0080926481619508,3.87806165510951
stock_280,2023-12-29,225.51,0.006382,0.006382,2023-09-30,2023-11-02,2023.0,3.0,2023Q3,25267.0,25928.0,752.0,2.52,-1838.0,-363.0,2419.0,-597.0,-120.0,881.0,0.2403643752464762,0.1137430496367619,0.4051599321989099,-0.0051054735425654,0.0297621403411564,-1.1376701966717095,1.1715425531914894,0.0008228490747635,2.103401231899719,0.2748483383154563,-0.0080950697477711,0.9628178436235344,-0.0109369728779548,3.967240234834553,0.0518154560554402,-0.248901154489515,4.257019872501554,2.576121180016915,3.538939023640449
stock_439,2023-12-29,61.57,-0.024865,-0.024865,2023-09-30,2023-11-07,2023.0,3.0,2023Q3,35949.0,25430.0,221.0,0.11,-141.0,-2407.0,2762.0,-76.0,-2416.0,966.0,0.3476013484421958,0.091668858569109,1.1816499637772733,-0.0207238031655957,0.0061475979860357,0.0210096016731628,4.3710407239819,-0.005417507097914,-0.0190799384163772,1.3507361554539812,0.0026412314710133,3.6286128486925433,-0.3016949724866984,0.0216158310204787,0.060176268307354,0.1338257569439666,-0.3537286301028322,-0.2140576843139794,3.414555164378564
stock_432,2023-12-29,248.48,-0.018564,-0.018564,2023-09-30,2023-10-18,2023.0,3.0,2023Q3,93941.0,39446.0,1853.0,0.58,1702.0,-10780.0,8886.0,2263.0,-4762.0,3308.0,0.4767441159293365,0.0177770826739316,1.0727381835543324,-0.0154884448749747,0.0197251466345897,0.0340031195522525,1.7852131678359415,-0.0101122544317413,-0.0177963515297297,0.6512878996154459,-0.0114924629341639,3.2547040180520197,-0.5204381508694832,0.0240019778637121,0.054740798685114,-0.3700111880714929,-0.071684186249164,-0.0433794428965708,3.2113245751554484
stock_4,2023-12-29,136.14,-0.006277,-0.006277,2023-09-30,2023-11-01,2023.0,3.0,2023Q3,21439.0,12316.0,4374.0,6.83,-1259.0,-567.0,3821.0,-3712.0,-364.0,1325.0,0.3896406721442035,0.0686169247509604,0.4838428731228152,0.1422174541723028,0.2040207099211717,0.4794475501479776,0.3029263831732967,0.1733429678029915,0.3509636600511204,-1.0955351552882415,0.1544413544932391,1.2329469919304672,8.027322899740833,0.7095150091182956,0.0411660938072319,5.545185875815144,3.2328181268512166,1.9563289571467668,3.189275949077234
stock_357,2023-12-29,17.17,-0.02221,-0.02221,2023-09-30,2023-11-02,2023.0,3.0,2023Q3,4193.417,921.52,71.505,0.03,167.607,-2141.954,411.011,50.94,-196.26400000000007,133.44300000000004,0.5167356400036937,-0.0989735471214405,0.919381835949417,-0.0147702935338889,0.0170517265514018,0.0218542943130544,1.866205160478289,0.0099851098646694,0.0125871703799746,-1.340393481396066,0.0008228932497012,2.7282109932673837,0.4159618363327495,0.0804839703531415,0.0392632797216981,0.0690057638008334,0.4667033226067558,0.282423937439839,3.0106349307072224
