stock_id,date,DlyPrc,DlyRet,DlyRetx,datadate,rdq,fyearq,fqtr,datacqtr,atq,ltq,niq,epspxq,fincfy,ivncfy,oancfy,fincfq,ivncfq,oancfq,annual_volatility,momentum_1m,momentum_12m_ex_1m,accruals,roa,roe,qoe,delta_roa,delta_roe,delta_qoe,delta_accruals,z_momentum_12m_ex_1m,z_delta_roa,z_delta_roe,z_delta_qoe,z_delta_accruals,FM_Score,z_FM_Score,Twin_Score
stock_3,2025-12-31,228.49,-0.005441,-0.005441,2025-09-30,2025-10-31,2025.0,3.0,2025Q3,133898.0,136497.0,186.0,0.1,-8558.0,-5180.0,13812.0,-4590.0,-3264.0,7024.0,0.2543319555707523,0.0150140333063002,0.3281799844523654,-0.0510687239540545,0.0013891170891275,-0.0715659869180454,37.763440860215056,-0.0054485146701412,6.725535462357317,32.2698374487012,-0.0203431185539291,0.6998953921010236,-0.2293029032555561,13.079470898982487,2.0751487097874084,-0.4906961937151103,15.416012899229449,9.023099853546883,9.722995245647908
stock_38,2025-12-31,247.02,-0.007234,-0.007234,2025-09-30,2025-11-06,2025.0,4.0,2025Q3,41059.5,23709.7,4.9,0.02,2795.2,-7168.7,3256.8,-239.1000000000004,-1487.6999999999998,1261.2000000000005,0.248621615124855,-0.0163647543119339,-0.1217689655768441,-0.0305970603636186,0.0001193390080249,0.0002824240048876,257.3877551020409,-0.01701497258296,-0.0398909213350493,256.18881982605325,-0.0271884413584072,-0.7574422495792824,-0.7629469971161815,-0.0721418546832557,17.039470099022257,-0.7132193942147841,16.917600641437605,9.90198963038947,9.144547380810188
stock_166,2025-12-31,13.12,-0.008314,-0.008314,2025-09-30,2025-10-23,2025.0,3.0,2025Q3,300990.0,253573.0,2447.0,0.61,-3558.0,-10388.0,17398.0,3850.0,-7377.0,7402.0,0.302109913354078,-0.0030390931239748,0.353750748699184,-0.0164623409415595,0.0081298382006046,0.0516059641057004,3.024928483857785,0.0082528205218958,0.052404526693043,178.49715070608002,0.0052406225907659,0.782716426044991,0.4028384712556537,0.1072753649494084,11.847399763430367,0.3409630461601095,12.016550553475325,7.033370836412669,7.81608726245766
stock_199,2025-12-31,82.0,-0.008105,-0.008105,2025-09-30,2025-10-23,2025.0,3.0,2025Q3,5521.8,5088.0,233.2,1.66,-375.1,-191.8,490.0,-100.5,-102.6,280.6,0.2735793099851816,-0.0083463838155626,0.3976506618343507,-0.0085841573399978,0.0422326053098627,0.5375749193176577,1.2032590051457976,0.2076237617724477,3.710730277122628,1.2865728635239233,0.1705863745091054,0.924903658339279,9.60125738979752,7.218857232485002,0.0045626254019812,5.715912768300957,11.108764479383543,6.502037316796916,7.426940975136195
stock_461,2025-12-31,172.27,-0.021527,-0.021527,2025-09-30,2025-10-30,2026.0,1.0,2025Q3,14359.0,8242.0,1182.0,3.34,-678.0,-57.0,672.0,-678.0,-57.0,672.0,0.4403789668631943,0.0422152713028489,2.2540015177154324,0.0355177937182255,0.0823177101469461,0.1932319764590485,0.5685279187817259,0.0619634750376759,0.1417879331377489,-2.049015940867397,0.0684416617370799,6.937430142211127,2.8808982001523304,0.2810317376442376,-0.2183520304315649,2.3954603879863705,0.5481175193786325,0.3208170063920371,7.258247148603164
stock_312,2025-12-31,285.41,-0.024673,-0.024673,2025-11-30,2025-12-17,2026.0,1.0,2025Q4,85971.0,27165.0,5240.0,4.66,-3745.0,-4594.0,8411.0,-3745.0,-4594.0,8411.0,0.5076585404512736,0.1428100242069965,2.049416652038152,-0.0368845308301636,0.0609507857300717,0.0891065537530184,1.6051526717557252,0.022290431615238,0.0300093507621572,-0.1849129327428689,-0.0063403147862979,6.274801135853283,1.0504946775322777,0.0637403880404615,-0.0937755598704148,-0.0355023629283717,1.055961868630696,0.6180618454638797,6.892862981317163
stock_40,2025-12-31,673.82,-0.028672,-0.028672,2025-09-30,2025-11-05,2025.0,3.0,2025Q3,6343.035,4869.115,835.545,2.47,-2099.854,359.256,2657.36,-560.2599999999998,-19.628000000000043,1053.422,0.5631082492702886,0.0865051505721392,1.4535560307589703,-0.0343490143125491,0.1317263738888403,0.5668862624837169,1.2607603420521936,-0.0057904333182108,-0.1352918209639282,0.3184823806327963,-0.0422867647636358,4.344870834807371,-0.2450780756115576,-0.2575958995745971,-0.0601340651868897,-1.2040256486857497,0.6412176083127051,0.375309137678994,4.720179972486365
stock_317,2025-12-31,99.85,-0.019733,-0.019733,2025-09-30,2025-10-23,2025.0,3.0,2025Q3,54690.0,21279.0,1832.0,1.67,-6207.0,1386.0,6713.0,-2800.0,-31.0,2298.0,0.382320172483885,0.0873354199098594,1.5702299978733136,-0.0085207533369903,0.0334978972389833,0.0548322408787525,1.254366812227074,-0.0038627480977337,-0.0090015002554501,0.0976467734109651,-0.0026655915496251,4.722765625024938,-0.1561400584170376,-0.0120945374582781,-0.0748923271509658,0.0839530957740283,-0.3270800188003099,-0.1914422158976465,4.531323409127292
stock_426,2025-12-31,127.77,-0.013588,-0.013588,2025-09-30,2025-11-06,2026.0,1.0,2025Q3,6363.3,5963.8,274.8,1.32,-550.8,69.3,112.6,-550.8,69.3,112.6,0.3553195411588049,0.1437038912243922,0.9440773342569212,0.0254899187528483,0.0431851397859601,0.6878598247809763,0.4097525473071324,0.1217657947513882,1.290680995216975,1.273802054172342,0.1719681498902998,2.694722563545815,5.640010363524218,2.5144159755188014,0.0037091627186985,5.760830603292448,2.3973048984692698,1.4031592746894044,4.097881838235219
stock_357,2025-12-31,177.75,-0.017087,-0.017087,2025-09-30,2025-11-03,2025.0,3.0,2025Q3,8113.96,1425.691,475.599,0.2,-16.012,-1825.72,1357.178,6.434999999999999,181.567,507.6640000000001,0.5106234976101146,0.0612594623219093,1.149096753934764,-0.0039518311650538,0.0586149056687486,0.0711094305566956,1.0674202426834374,0.0142569312337739,0.0168859586958042,-0.5830432941531267,0.0249014137728257,3.3587590449123703,0.6798513860502546,0.0382292434824143,-0.1203822844084677,0.9800829683536468,-0.3823846232294456,-0.2238123865369009,3.134946658375469
stock_39,2025-12-31,135.14,-0.007783,-0.007783,2025-09-30,2025-10-22,2025.0,3.0,2025Q3,27143.0,14536.1,1245.7,1.02,346.0,-3578.6,3652.5,-266.29999999999995,-614.4000000000001,1470.8000000000002,0.3251900318025458,-0.0155126885628864,1.0168049105417527,-0.0082931142467671,0.0458939689791106,0.0988109685965622,1.1807016135506143,0.0033786583247652,0.004730949285718,-0.1175665070395071,0.0043878475584096,2.930279585072769,0.177958228002027,0.0146005809691475,-0.0892748536420211,0.313241602639284,-0.2099576473101305,-0.1228896751111164,2.8073899099616524
stock_187,2025-12-31,653.57,-0.009202,-0.009202,2025-09-30,2025-10-22,2025.0,3.0,2025Q3,54398.0,44669.0,452.0,1.66,-2635.0,-381.0,2508.0,-774.0,-167.0,980.0,0.4539833786387857,0.0924621840268513,0.9069575618510944,-0.0097062391999705,0.008309129012096,0.0464590399835543,2.168141592920354,-0.0013747324747722,-0.0052148315354966,1.4541338108191866,-0.012475748224425,2.5744954987330058,-0.0413499599587275,-0.0047334639934497,0.0157605856686342,-0.2349489520960319,0.2046261138124888,0.1197690913754764,2.694264590108482
stock_323,2025-12-31,159.24,-0.007418,-0.007418,2025-09-30,2025-11-06,2025.0,3.0,2025Q3,23971.0,22001.0,152.0,0.7,-540.0,-1340.0,1790.0,215.0,-258.0,484.0,0.4126907012536798,-0.0313484138308971,0.8151242888386565,-0.0138500688331734,0.0063409953694046,0.0771573604060913,3.1842105263157894,0.0106584978602714,0.1226119058606367,7.520748987854251,0.0091904492671255,2.277057121532566,0.513829711014168,0.2437546067437798,0.4211874873547713,0.4693613844923099,0.7094104206204093,0.4152228662655438,2.6922799877981096
stock_224,2025-12-31,98.77,-0.001415,-0.001415,2025-09-30,2025-10-28,2025.0,3.0,2025Q3,6330.356,1679.162,424.169,2.17,-36.7,-65.191,870.197,-12.778000000000002,-47.416,559.389,0.3130755261024254,-0.032046073791228,0.4600262080859842,-0.021360568031245,0.0670055522943733,0.0911957230766981,1.318788030242663,-0.002565719268909,-0.005905312358554,1.208316152534323,-0.0832461705903747,1.1269315360951335,-0.0962987673937741,-0.0060757203249314,-0.000667206216936,-2.535506768782587,2.4324650748469456,1.4237387711128893,2.550670307208023
stock_201,2025-12-31,466.86,-0.013523,-0.013523,2025-09-30,2025-10-24,2025.0,3.0,2025Q3,59747.0,61906.0,1643.0,7.05,-7551.0,-3671.0,10277.0,-2967.0,-1388.0,4416.0,0.2731579353253046,-0.070449235006855,0.6726055363882113,-0.0464123721693139,0.0274992886672134,-0.7610004631773969,2.68776628119294,-0.0002654251194031,0.5742176305221184,0.1408818286823532,-0.0034635680843904,1.815453771690616,0.0098303860841912,1.1216510276408893,-0.0720029639737427,0.0580130053631786,1.0014654443881592,0.5861647083236895,2.4016184800143057
stock_454,2025-12-31,161.33,-0.007933,-0.007933,2025-09-30,2025-11-06,2025.0,3.0,2025Q3,38020.0,32797.0,652.0,1.78,-1060.0,-2162.0,2638.0,-833.0,-491.0,1467.0,0.4942776379721674,-0.0511437563667541,0.6695130707149328,-0.021436086270384,0.0171488690163072,0.1248324717595251,2.25,0.0085765416425328,0.0572146057545624,0.5007645259938838,-0.0150133945071585,1.8054375984536732,0.4177740604730206,0.1166258912198742,-0.0479522993636343,-0.3174410695167839,0.8038887218460443,0.4705216748177212,2.2759592732713947
stock_217,2025-12-31,205.02,-0.013426,-0.013426,2025-09-30,2025-10-30,2025.0,3.0,2025Q3,11177.0,6034.0,385.0,0.96,-820.0,-316.0,1230.0,-314.0,-104.0,531.0,0.309663020885477,0.0315967297496126,0.7962894663552049,-0.0130625391428827,0.0344457367808893,0.074859031693564,1.3792207792207791,-0.0024001802931645,-0.0058629040462217,0.2833976833976832,-0.0095318493004058,2.216053099236884,-0.0886612609613309,-0.005993280923525,-0.0624787466412983,-0.1392506440349785,-0.0178826444911757,-0.0104668365253783,2.2055862627115053
stock_271,2025-12-31,171.18,-0.014961,-0.014961,2025-09-30,2025-10-22,2026.0,1.0,2025Q3,21900.211,11707.459,1568.66,1.24,-1281.638,-186.048,1778.964,-1281.638,-186.048,1778.964,0.4202947369413262,0.1058914479627106,1.0735336159580853,-0.0096028298540137,0.0716276203914199,0.1538995552918387,1.1340660181301236,-0.0089564530750076,-0.0205229203685979,-0.3508510326254193,0.0294737613891944,3.11401793530483,-0.3911493929496216,-0.0344915376038504,-0.1048650665794833,1.1287178033282397,-1.659223800461195,-0.971155261013776,2.142862674291054
stock_140,2025-12-31,87.1,0.0,0.0,2025-09-30,2025-10-29,2025.0,3.0,2025Q3,17791.0,13072.0,632.0,1.31,-2838.0,1644.0,1376.0,-874.0,265.0,896.0,0.2843899833326974,0.0528206662414421,0.3270726984877175,-0.0148389635208813,0.0355235793378674,0.1339266793812248,1.4177215189873418,0.01503474241342,0.0564366814869312,2.2519606494221245,-0.0524203899447997,0.6963090085428867,0.7157374235291002,0.1151136496937193,0.0690786969741414,-1.5334427956026948,2.4333725657996554,1.4242699318959022,2.120578940438789
stock_448,2025-12-31,162.79,-0.012556,-0.012556,2025-09-30,2025-10-23,2025.0,3.0,2025Q3,58615.0,31869.0,1095.0,3.54,-2430.0,-1426.0,3769.0,-1199.0,-379.0,1881.0,0.3303215157492238,-0.0983157585566081,0.6798251701220317,-0.0134095368079843,0.0186812249424208,0.0409407014132954,1.717808219178082,0.0066676971043511,0.014444245407061,0.4068838494301827,-0.0096742382364837,1.838837411098505,0.3297052997878812,0.0334826886006057,-0.0542262677490861,-0.1438793288577119,0.4528410494971128,0.2650510241595381,2.103888435258044
stock_21,2025-12-31,141.44,-0.004014,-0.004014,2025-09-30,2025-11-05,2025.0,3.0,2025Q3,17148.285,6879.227,-160.694,-1.72,-301.171,30.633,893.782,-90.531,-152.97899999999998,355.6020000000001,0.4996949839287289,0.1055216653358186,0.7215086190477658,-0.0301077338054505,-0.0093708496214052,-0.0156483681365905,-2.212913985587515,-0.0106949935412817,-0.0178292458291366,-1.8983312891643989,-0.0318484304900941,1.973845747378848,-0.4713607989615352,-0.0292551840588918,-0.2082818991163529,-0.8647032212737921,0.155805339137012,0.0911939515060515,2.0650396988849
stock_190,2025-12-31,87.56,-0.01463,-0.01463,2025-09-30,2025-10-28,2025.0,3.0,2025Q3,29916.0,17911.0,430.0,0.5,-1020.0,-765.0,1643.0,-324.0,-299.0,784.0,0.312555992065482,0.0794859176032403,0.7782786874520373,-0.0118331327717609,0.0143735793555288,0.0358184089962515,1.8232558139534885,-0.0019423016672576,-0.0048052376040082,0.3136609312242773,-0.0035186432953303,2.1577180680075325,-0.0675360187945448,-0.0039372361627589,-0.0604562786845798,0.0562226570397215,-0.1881521906816051,-0.1101267892860011,2.047591278721532
stock_405,2025-12-31,129.01,-0.010204,-0.010204,2025-09-30,2025-10-17,2025.0,3.0,2025Q3,371070.0,343428.0,861.0,2.83,14689.0,-14934.0,1856.0,-7222.0,57.0,7901.0,0.2582254540021782,0.0921973648926706,0.2650456037139155,-0.0189721615867626,0.0023203169213355,0.0311482526589971,9.176538908246226,0.0004807397320926,0.0057701444816067,21.356914088621405,-0.0432184791142434,0.4954097287199974,0.0442563502858873,0.0166207186540008,1.3458470189592535,-1.2343131990570844,2.641037286956226,1.5458175413396105,2.041227270059608
stock_295,2025-12-31,160.1,-0.006639,-0.006639,2025-09-30,2025-10-21,2025.0,3.0,2025Q3,37611.0,32936.0,834.0,1.56,-3399.0,1755.0,723.0,-1208.0,465.0,1756.0,0.270468959161653,-0.0608868902391717,0.3036697064178302,-0.0245141049161149,0.0221743638829065,0.1783957219251337,2.105515587529976,0.0031425388809322,0.0122270250738351,3.4250176622187727,-0.0686584624933083,0.6205091622065894,0.1670643357147922,0.0291725355432274,0.147473132144459,-2.0612992571089714,2.4050092605114504,1.4076686915190924,2.0281778537256816
stock_70,2025-12-31,116.69,-0.004436,-0.004436,2025-09-30,2025-10-14,2025.0,3.0,2025Q3,2642475.0,2428598.0,3752.0,1.89,212750.0,-58952.0,-94187.0,20685.0,-10003.0,1100.0,0.2802718398096525,0.1364434256384654,0.5770343983969761,0.0010036045752561,0.0014198809827907,0.0175427932877308,0.2931769722814499,-0.000112467235049,-0.0012261788320095,9.3946947627766,-0.0144754382084856,1.5059088403293843,0.0168874360652852,0.0030202551056995,0.5464217419240394,-0.2999535439860169,0.8662829770810411,0.5070414675133544,2.012950307842739
stock_386,2025-12-31,183.4,-0.003315,-0.003315,2025-09-30,2025-10-21,2025.0,3.0,2025Q3,168672.0,102279.0,1918.0,1.43,-5332.0,-716.0,6402.0,-3923.0,471.0,4639.0,0.2415461287382244,0.0915366530937864,0.564269423361137,-0.0161319009675583,0.011371181938911,0.0288885876523127,2.41866527632951,0.0014572779428358,0.0030975001307163,2.1422621381279408,-0.0233055707872891,1.464564419782053,0.0893110984655166,0.0114252466264125,0.0617476357059172,-0.5869976204153098,0.7494816012131562,0.4386768077030175,1.9032412274850707
stock_184,2025-12-31,308.03,-0.012059,-0.012059,2025-09-30,2025-10-21,2025.0,3.0,2025Q3,128243.0,109222.0,2157.0,2.06,-5856.0,-1458.0,6256.0,-366.0,-607.0,2501.0,0.2736615663324974,0.0691149064048328,0.7238639114594911,-0.00268240761679,0.0168196314808605,0.1134009778665685,1.1594807603152526,0.0006287903235506,0.0085676876106885,0.051985691281722,-0.0009419720288741,1.9814742934362368,0.0510869914657227,0.0220589869624178,-0.0779438197073707,0.1399833726735105,-0.1447812139527407,-0.0847414541589163,1.89673283927732
