stock_id,date,DlyPrc,DlyRet,DlyRetx,datadate,rdq,fyearq,fqtr,datacqtr,atq,ltq,niq,epspxq,fincfy,ivncfy,oancfy,fincfq,ivncfq,oancfq,annual_volatility,momentum_1m,momentum_12m_ex_1m,accruals,roa,roe,qoe,delta_roa,delta_roe,delta_qoe,delta_accruals,z_momentum_12m_ex_1m,z_delta_roa,z_delta_roe,z_delta_qoe,z_delta_accruals,FM_Score,z_FM_Score,Twin_Score
stock_454,2024-12-31,137.87,-0.015847,-0.015847,2024-09-30,2024-11-07,2024.0,3.0,2024Q3,37878.0,29225.0,1888.0,5.36,-850.0,-4959.0,3210.0,-1661.0,-762.0,1702.0,0.4898197968684962,-0.123492547044597,2.8154865580338884,0.0049105021384444,0.0498442367601246,0.2181902230440309,0.9014830508474576,0.0405151632776965,0.1682381223186991,-2.375229277919665,0.0261501187518629,8.357301564766393,1.0998597664269916,1.2864929828056368,-0.1534453941364772,0.6892615910674085,1.5436457640287429,0.9514813915544492,9.308782956320842
stock_223,2024-12-31,133.63,0.000449,0.000449,2024-09-30,2024-11-04,2024.0,3.0,2024Q3,6014.0,3889.0,704.0,4.43,-523.0,-130.0,473.0,-332.0,-41.0,316.0,0.3693900399377896,-0.0689398241958261,0.0196586833496468,0.064516129032258,0.1170601928832723,0.3312941176470588,0.4488636363636363,0.443980107371021,1.7156952318531868,0.4891050850557892,0.4045917744853084,-0.6716269852809361,12.74876751552938,13.129784037148314,0.0158029980921301,10.468936820740527,15.425417730029295,9.508009071181997,8.836382085901061
stock_99,2024-12-31,224.68,-0.000134,-0.000134,2024-09-30,2024-11-06,2024.0,4.0,2024Q3,67101.667,66314.925,3.382,0.02,-2330.994,-618.096,3484.685,-957.2600000000002,-241.885,1000.379,0.1791495239344507,-0.1068178513363329,0.2357701400290606,-0.0148580064337298,5.040113235934958e-05,0.0042987408832883,295.79509166173864,-0.0071900580014959,-0.4515821005664779,290.6704140752429,0.0150065530716215,0.0262896922346454,-0.2774934087804393,-3.4572322266154907,17.1620973121274,0.4012899801143809,13.026081696617087,8.029092313803929,8.055382006038574
stock_40,2024-12-31,323.83,-0.034439,-0.034439,2024-09-30,2024-11-06,2024.0,3.0,2024Q3,5442.484,4504.278,434.42,1.29,-1226.687,-106.387,1398.008,-441.07499999999993,-6.396000000000001,550.702,0.4749988660406434,0.0559312683629273,2.5018639310817004,-0.0213656117317019,0.0798201703486863,0.4630326388874085,1.267671838313153,0.0209965627952833,0.0826260294592537,-0.1986909269956358,0.006067528552342,7.344479453623639,0.5363154492815022,0.6312703422176613,-0.0248376375562957,0.1702880400683994,0.9724601138744682,0.5994106445546199,7.943890098178259
stock_453,2024-12-31,402.7,0.008389,0.008389,2024-09-30,2024-11-04,2024.0,3.0,2024Q3,22240.2,6609.3,1045.4,4.05,-1103.6,-2948.1,-1077.2,-387.4999999999999,-348.0,1369.8,0.225092029247459,-0.0871465995365419,0.1505133067427004,-0.0145861997643906,0.0470049729768617,0.0668803459813574,1.3103118423569924,0.225505973865989,0.3101069427988901,0.2657882448503139,-0.0225337064825173,-0.2490412260654595,6.440945574556677,2.3722702377168483,0.0026076055950449,-0.5688240147776087,9.38464743264618,5.784563794712563,5.535522568647103
stock_297,2024-12-31,52.29,0.004032,0.004032,2024-09-30,2024-10-31,2024.0,3.0,2024Q3,34167.0,37585.0,2293.0,1.34,-9444.0,2238.0,5413.0,-2478.0,-41.0,2611.0,0.171367713344912,-0.0768292586125926,0.5012203064187015,-0.0093072262709632,0.0671115403752158,-0.6708601521357519,1.138682948102922,-0.0434825794956656,0.6113380946612811,1.1584042207823857,-0.1220824029365635,0.883542246167683,-1.325337195600511,4.677709389574443,0.0553506864157972,-3.1413577359163947,6.549080616306124,4.036760559587293,4.920302805754976
stock_284,2024-12-31,569.91,-0.001472,-0.001472,2024-09-30,2024-11-06,2024.0,2.0,2024Q3,72429.0,75071.0,241.0,1.88,-2408.0,-373.0,706.0,-1599.0,-286.0,2086.0,0.2093356255223455,-0.0921856388872592,0.4472289354670589,-0.0254732220519405,0.0033273964848334,-0.0912187736563209,8.655601659751037,-0.0094394515687455,0.571344586227821,10.163798381062511,-0.0574949884814088,0.7091809290581531,-0.3424382783160026,4.371623516341897,0.5874633135984085,-1.4722921673506446,6.088940718974947,3.753136842265164,4.462317771323318
stock_328,2024-12-31,134.29,-0.023274,-0.023274,2024-10-31,2024-11-20,2024.0,3.0,2024Q3,96013.0,30114.0,19309.0,0.79,-32410.0,-13223.0,47460.0,-12745.0,-4346.0,17627.0,0.4582218737920451,-0.0285747903372497,1.5278847143282253,0.0175184610417339,0.2011081832668493,0.2930089986190989,0.912890362007354,0.0063459600277349,0.0075919379041377,0.0400666979312047,-0.0072506848861997,4.199082400777038,0.113320781203376,0.057005259321268,-0.0107298767189012,-0.1738807375889567,0.3334769013946996,0.2055504401231179,4.404632840900156
stock_357,2024-12-31,75.63,-0.020083,-0.020083,2024-09-30,2024-11-04,2024.0,3.0,2024Q3,5768.097,1176.735,143.525,0.06,224.7,-980.849,693.538,151.427,-320.726,419.772,0.4371416314675335,0.0927699451823107,1.3133205058352204,-0.0478922251134126,0.024882556586687,0.0312597874007756,2.9247308831214074,-0.000951245427227,-0.0011549753986403,1.8497193268235976,-0.0459543914192595,3.50616245194092,-0.0973653624518625,-0.0099382697973288,0.0961992590312097,-1.1740604861536998,1.1629561129357182,0.7168296810305158,4.222992132971435
stock_224,2024-12-31,69.07,0.0095,0.0095,2024-09-30,2024-10-29,2024.0,3.0,2024Q3,5012.434,1841.214,106.456,0.55,-2041.941,178.982,-45.881,-32.35100000000011,38.274,310.871,0.2704663205337465,-0.0740056639293231,0.1280718424623717,-0.0407815843560234,0.0212383843857096,0.033569414925486,2.920182986398136,0.1166094243030977,0.1819151765538021,1.625622245419146,-0.0688741485420261,-0.3215143491000494,3.29686607366141,1.3911687977760976,0.082957763477797,-1.7663519995422856,6.53734463445759,4.02952666655256,3.708012317452511
stock_61,2024-12-31,328.51,0.00665,0.00665,2024-09-30,2024-10-30,2024.0,3.0,2024Q3,10603.472,3115.613,653.172,23.37,-192.552,-129.656,331.048,0.0,0.0,0.0,0.3554905854791107,-0.0627683434954405,0.5868139326219404,0.0615998231522656,0.0615998231522656,0.0872308092339879,0.0,0.2851120355339003,0.4066811769767713,0.0,0.2851120355339003,1.1599608133928858,8.161901815791355,3.1113904089136866,-0.013097346206549,7.381345838700465,3.878849039798027,2.3908676252150465,3.5508284386079323
stock_427,2024-12-31,178.5,0.004163,0.004163,2024-09-30,2024-11-05,2024.0,3.0,2024Q3,21903.8,17445.3,387.4,1.76,-61.3,-2275.0,2321.8,267.2,-847.3,540.9000000000001,0.2398135201311741,-0.126284547314897,1.4043981429644878,-0.0070079164345912,0.0176864288388316,0.0868902097117864,1.3962312854930308,0.0036534532272402,0.0182767353498642,-1.6349349343461117,0.0214953895914996,3.800291244916119,0.0355822718434684,0.1387801694152243,-0.1097027260159851,0.5689742527662959,-0.5043145375235882,-0.3108523400418877,3.489438904874232
stock_102,2024-12-31,41.88,0.011106,0.011106,2024-10-31,2024-12-03,2025.0,1.0,2024Q3,16112.0,12268.0,218.0,0.73,523.0,-47.0,225.0,523.0,-47.0,225.0,0.2120704340486027,-0.0906614955068059,0.1043730802895981,-0.0004344587884806,0.0135302879841112,0.0567117585848074,1.0321100917431192,0.0137272029824702,0.0575020641696335,97.03211009174312,0.0186662960523464,-0.3980478268295049,0.3264332696914311,0.4389868653246014,5.720356415286963,0.4958649224689662,5.989911627834029,3.692096712697343,3.294048885867838
stock_201,2024-12-31,300.15,0.005797,0.005797,2024-09-30,2024-10-25,2024.0,3.0,2024Q3,59459.0,58673.0,1270.0,4.94,-2419.0,-3587.0,7955.0,-110.0,-1352.0,3515.0,0.2346358334162219,-0.0807991789765805,0.2609013907220991,-0.037757109941304,0.0213592559578869,1.6157760814249365,2.767716535433071,-0.0041030211818332,0.5246633107005152,1.418640560073728,-0.0288688407138863,0.1074492904114105,-0.1883639623271785,4.014353560715042,0.0707275860521807,-0.7325363185912588,4.629253503031303,2.853406310931657,2.960855601343068
