stock_id,date,DlyPrc,DlyRet,DlyRetx,datadate,rdq,fyearq,fqtr,datacqtr,atq,ltq,niq,epspxq,fincfy,ivncfy,oancfy,fincfq,ivncfq,oancfq,annual_volatility,momentum_1m,momentum_12m_ex_1m,accruals,roa,roe,qoe,delta_roa,delta_roe,delta_qoe,delta_accruals,z_momentum_12m_ex_1m,z_delta_roa,z_delta_roe,z_delta_qoe,z_delta_accruals,FM_Score,z_FM_Score,Twin_Score
stock_270,2021-12-31,258.48,0.008152,0.008152,2021-10-31,2021-11-17,2021.0,3.0,2021Q3,49400.0,50976.0,1895.0,2.74,-6391.0,-1360.0,9179.0,-1464.0,485.0,2266.0,0.2296679184072035,0.0535591153169414,0.5009926197937531,-0.0075101214574898,0.0383603238866396,-1.2024111675126905,1.195778364116095,-0.0227480883876701,16.049017403915883,0.3938571981671053,-0.0196144045114935,1.0709701407115308,-0.9555489250550324,16.730797541453992,-0.0628251712467425,-0.6046685683474787,16.317092013499696,9.987621225125164,11.058591365836694
stock_158,2021-12-31,112.65,0.009047,0.009047,2021-09-30,2021-11-03,2021.0,3.0,2021Q3,58843.499,47336.565,535.583,2.64,1091.929,-3861.975,2010.983,84.46900000000005,-1035.75,1264.436,0.2028133355643875,0.122014774389483,0.0439368959277459,-0.0123862960630536,0.0091018210864721,0.0465443705508348,2.3608591012037348,0.0091267543818639,0.0466695684779879,573.0504648359707,0.0018678097491692,-0.6573213983273932,0.4057990208627243,0.0033289722976832,17.38866847250906,0.0573821436025373,17.74041432206693,10.858830634711088,10.201509236383693
stock_284,2021-12-31,248.57,-0.001326,-0.001326,2021-09-30,2021-11-01,2021.0,2.0,2021Q3,63601.0,63688.0,267.0,1.73,-3894.0,-157.0,170.0,-1743.0,-58.0,1792.0,0.2156283297318805,0.1539382244812626,0.2420494088121274,-0.0239776104149305,0.0041980472005157,-3.0689655172413794,6.711610486891386,-0.0035292399810914,9.720508166969148,10.049059046562167,-0.0574943210709548,0.0918130330274036,-0.134727941234909,10.115522055677433,0.2314134552514221,-1.772072701948415,11.98428027164236,7.335525957068614,7.427338990096018
stock_317,2021-12-31,62.02,0.006982,0.006982,2021-09-30,2021-10-28,2021.0,3.0,2021Q3,39865.0,16579.0,3.0,-0.01,-2363.0,-1517.0,2980.0,-697.0,-390.0,1144.0,0.2637725704820601,0.1337184288183248,-0.0656297835641515,-0.0286215978928884,7.525398218989088e-05,0.0001288327750579,381.3333333333333,-0.0159042921986985,-0.0268488380143502,379.8025641025641,-0.0201401464584169,-1.0716322913727905,-0.6632560986558624,-0.073520802904156,11.49951174867496,-0.6208711732577179,11.38360602037266,6.967855854062269,5.896223562689478
stock_69,2021-12-31,129.39,0.006926,0.006926,2021-09-30,2021-10-21,2021.0,3.0,2021Q3,39038.092,18160.227,1401.895,1.94,-1686.53,-44.456,4799.935,957.179,-9.645000000000003,1603.6670000000004,0.2896808642789258,-0.0600087607078873,1.2927679465909183,-0.0051685927683146,0.0359109507708522,0.0671474310232392,1.1439280402597916,-0.0034062384984411,-0.0034381629704893,0.4567778850448128,-0.0174689693285963,4.064956490009483,-0.1294746505140252,-0.0490493106577685,-0.0609076870992417,-0.538549365129184,0.2991177168581486,0.1830886566817042,4.248045146691188
stock_303,2021-12-31,253.98,0.009459,0.009459,2021-09-30,2021-11-04,2021.0,3.0,2021Q3,20923.0,10799.0,3333.0,8.27,0.0,-7385.0,10310.0,-2.0,-3327.0,3276.0,0.5962606702781096,-0.1077063000920608,1.8155882267357213,0.0027242747215982,0.159298379773455,0.329217700513631,0.9828982898289828,-0.0128058733064681,-0.0854601037823117,-0.4786125015379235,0.0821522447581239,6.0419273918707255,-0.5309252123506877,-0.1347879442020639,-0.0894133555367629,2.531632084099294,-3.2867585961888084,-2.0118106761915118,4.030116715679214
stock_166,2021-12-31,20.77,0.014656,0.014656,2021-09-30,2021-10-27,2021.0,3.0,2021Q3,252677.0,215973.0,1832.0,0.46,-15420.0,5008.0,12256.0,-1222.0,-1170.0,7008.0,0.3863071038024093,0.0268424568961005,1.115776744992854,-0.0204846503639033,0.0072503631117988,0.0499128160418483,3.825327510917031,0.0049931085127935,0.0337847111660433,2.4777339280293305,-0.0197000431503453,3.395689308277515,0.2292544539232741,-0.0101397416635463,0.0006801843547118,-0.6073078270912147,0.8271027237056543,0.5062659885601546,3.9019552968376696
stock_137,2021-12-31,44.05,0.008702,0.008702,2021-09-30,2021-11-02,2021.0,3.0,2021Q3,21057.0,11996.0,838.0,1.24,-2143.0,-1056.0,3283.0,-337.0,-474.0,1598.0,0.4720608840922787,0.0767210488867491,0.9429134277271884,-0.0360925108040081,0.0397967421759984,0.0924842732590221,1.9069212410501195,0.027038207413975,0.0624901314898364,-2.3626100089498805,0.0056219173046387,2.7420311369862693,1.1707822388183196,0.0198664187554461,-0.146827467391815,0.1730782980900518,0.8707428920918989,0.5329779462841099,3.2750090832703798
stock_328,2021-12-31,294.11,-0.005915,-0.005915,2021-10-31,2021-11-17,2021.0,3.0,2021Q3,40632.0,16834.0,2464.0,0.99,2610.0,-8244.0,6075.0,-1420.0,-4439.0,1519.0,0.417393346100518,-0.0761097623207186,1.260442248668165,0.0232575310100413,0.0606418586335892,0.103538112446424,0.6164772727272727,-0.0007552953120769,-0.008676386064003,-0.5137376450982647,0.031252356365798,3.9427214379224833,-0.0162550783393575,-0.0545248954317062,-0.0904837810088584,0.962971286873069,-1.1242350416529914,-0.6881393911827681,3.2545820467397157
stock_181,2021-12-31,359.4,-0.001056,-0.001056,2021-09-30,2021-11-04,2021.0,3.0,2021Q3,5970.6,4835.0,163.1,1.0,716.4,-1059.2,1132.9,-118.70000000000005,-307.5,398.80000000000007,0.3422546399084692,0.1440862995361955,1.0904959698237096,-0.0394767695039024,0.0273171875523397,0.1436245156745332,2.4451256897608835,0.0025820780882371,0.0126970732826078,-0.5963288556936628,0.0110188321439056,3.300093634613035,0.1262813556794063,-0.0321829320453823,-0.0930007169308609,0.3394033923431632,-0.3383056856400001,-0.207075442344943,3.093018192268092
